,제목,브랜드,품번,시즌,성별,조회수(1개월),누적판매(1년),좋아요,별점,후기개수,태그,가격
0,볼드 라인 트랙 팬츠 [레드],MUSINSA STANDARD,MMJPC112-RE,600회이상, 남 ,600회 이상,50개 이상,243,4.7,후기 593개 보기,  #라운지팬츠 #밴딩팬츠 #스포츠웨어 #애슬레저 #운동복 #트레이닝팬츠 #슬림 #캐주얼팬츠  ,"17,890원"
1,[2PACK] 베이직 조거 스웨트 팬츠 패키지,UNI APPAREL,ua20fw_b_np_pt_pkg,2021S/S, 남 ,500회 이상,100개 이상,150,4.8,후기 26개 보기,  #스웻팬츠 #조거팬츠 #트레이닝팬츠 #스웨트팬츠 #조거  ,"42,913 ~ 46,900원"
2,에센셜 나일론 와이드 2에이치 라인 팬츠 다크그레이,SECONDMONO,COOSPT161DARKGRAY,2020S/S, 남 ,700회 이상,50개 이상,269,4.7,후기 488개 보기,  #세컨모놀로그 #스트링팬츠 #와이드팬츠 #조거팬츠 #트랙팬츠 #트레이닝팬츠 #조거  ,"35,685 ~ 39,000원"
3,클래식 사이드 테이핑 팬츠 - 블랙 / GN9500,REEBOK,GN9500,2020F/W, 남 ,400회 이상,100개 이상,379,4.7,후기 78개 보기,  #리복X무신사 #트레이닝바지 #테이퍼드핏 #테이핑팬츠 #익스클루시브컬렉션  ,"27,600원"
4,Deep One Tuck Jogger Sweat Pants [Black],XERO,2022SS31,2022S/S, 남 ,2.2천 회 이상,100개 이상,132,4.9,후기 151개 보기,  #조거팬츠 #밴딩팬츠 #스웻팬츠 #트레이닝팬츠 #와이드팬츠 #턱팬츠 #턱스웻팬츠  ,"41,175 ~ 45,000원"
5,원턱 나일론 와이드 스트레치 조거팬츠_챠콜,THAT'S IT,210072,2021F/W, 남 ,600회 이상,50개 이상,118,4.5,후기 66개 보기,  #트레이닝바지 #트레이닝팬츠 #츄리닝바지 #조거팬츠 #트레이닝 #조거바지 #밴딩팬츠  ,"39,528 ~ 43,200원"
6,[기모 선택] 타이포 조거 밴딩 팬츠 크림,BONIEE,20 FW,2020F/W, 여 ,800회 이상,50개 이상,857,4.6,후기 328개 보기,  #트레이닝팬츠 #트레이닝 #밴딩팬츠 #스웻팬츠 #조거팬츠 #조거 #트레이닝세트  ,"36,000원"
7,[세트] 라인 트랙팬츠(CP0030)+로고양말,CRUMP,CP0030,300회이상, 남 ,300회 이상,50개 미만,130,4.7,후기 51개 보기,  #바지 #양말 #트랙팬츠 #트레이닝 #트레이닝바지 #트레이닝세트 #패키지  ,"25,528 ~ 27,900원"
8,앰버 와이드 기모 스웨트팬츠 그레이 KJLP2374,JEMUT,2176305,2021F/W, 남 ,1.5천 회 이상,200개 이상,300,4.9,후기 269개 보기,  #스웻팬츠 #트레이닝 #밴딩팬츠 #조거팬츠 #바지 #트레이닝바지  ,"29,463 ~ 32,200원"
9,프론트 라인 부츠컷 스웨트 팬츠 블랙,ACOVER,ACP21468,2022S/S, 여 ,1천 회 이상,50개 이상,336,4.7,후기 25개 보기,,"25,800원"
10,와이드 조거 원턱 스웻 팬츠 블랙 / P019-1791SS22,GREENERY CREED,P019-1791SS22-BK,2022S/S, 남 ,300회 이상,50개 미만,73,4.6,후기 20개 보기,  #스웻팬츠 #트레이닝복 #트레이닝바지 #조거팬츠 #트레이닝 #스웨트팬츠 #밴딩팬츠  ,"30,195 ~ 33,000원"
11,우먼즈 기모 스웨트 팬츠 [네이비],MUSINSA STANDARD,MWAPC704-NA,2021F/W, 여 ,2.8천 회 이상,300개 이상,346,4.7,"후기 2,352개 보기",  #기모바지 #조거팬츠 #이지웨어 #편한바지 #트레이닝복 #무신사스탠다드우먼즈 #우먼즈스웨트컬렉션 #스웨트컬렉션  ,"28,704 ~ 29,900원"
12,Check Jogger Pants - Red,D.PRIQUE,D20SBB013,300회이상, 남 ,300회 이상,50개 이상,585,4.7,후기 172개 보기,  #조거팬츠 #체크 #체크팬츠  ,"81,435 ~ 89,000원"
13,[기모 선택] 스몰 타이포 조거 밴딩 팬츠 오트 화이트,BONIEE,21 Capsule,2021S/S, 여 ,900회 이상,100개 이상,667,4.7,후기 664개 보기,  #스웻팬츠 #밴딩팬츠 #트레이닝세트 #조거 #조거팬츠 #트레이닝바지 #댄스  ,"36,000원"
14,스탠다드 스웨트 팬츠 - 라임_와펜 ver.,MELANGE MASTER,MMPT0001-LM,300회이상, 남 ,300회 이상,50개 이상,296,4.7,"후기 14,280개 보기",  #무지스웨트 #세트업 #스웨트 #스웨트팬츠 #스웻 #스웻팬츠 #스탠다드 #레귤러  ,"18,902 ~ 19,690원"
15,민자 트레이닝 팬츠(쭈리) Ver2 네이비 SJLP1234,FP142,1916730,2020S/S, 남 ,400회 이상,50개 이상,154,4.6,"후기 1,295개 보기",  #밴딩팬츠 #오버핏 #쭈리 #쭈리트레이닝팬츠 #쭈리팬츠 #트레이닝팬츠  ,"24,705 ~ 27,000원"
16,Deep One Tuck Sweat Pants [Deep Charcoal],XERO,2022SS01,2022S/S, 남 ,1.5천 회 이상,50개 이상,238,4.8,후기 129개 보기,  #스웻팬츠 #딥원턱팬츠 #스웻 #팬츠 #와이드팬츠 #트레이닝팬츠 #원마일웨어  ,"30,744 ~ 33,600원"
17,사미르 핫플리스 와이드팬츠,TENBLADE,tbk4002set,2021F/W, 남 여 ,2.8천 회 이상,400개 이상,"1,222",4.7,후기 148개 보기,  #바지 #트레이닝바지 #밴딩팬츠 #와이드팬츠 #트레이닝팬츠 #플리스 #후리스  ,"19,900원"
18,PL118_스웨트 조거 팬츠_라이트 멜란지,URBANDTYPE,PL118,2021S/S, 남 여 ,700회 이상,100개 이상,433,4.9,후기 92개 보기,  #조거팬츠 #코튼팬츠 #팬츠 #밴딩팬츠 #남성팬츠 #캐주얼팬츠 #시티보이  ,"45,076 ~ 47,200원"
19,유틸리티 윈드브레이크 스트링 카고 조거팬츠 블랙 FTP303,FLUKE,FTP303BK,2022S/S, 남 ,300회 이상,50개 미만,72,4.6,후기 7개 보기,  #조거팬츠 #카고팬츠 #트레이닝팬츠 #트레이닝세트 #밴딩팬츠 #셋업 #스웻팬츠  ,"38,208 ~ 39,800원"
20,뉴노멀 밴딩 팬츠_블랙,KIIMUIR,KBBS1PL010BK,2022S/S, 남 ,1.1천 회 이상,50개 이상,166,4.9,후기 15개 보기,,"41,600원"
21,클래식 애슬릭 로고 헤비웨이트 조거 - 화이트,BADBLOOD,at-pts21-017,2021S/S, 남 여 ,1.1천 회 이상,100개 이상,"1,117",4.8,후기 81개 보기,  #클래식로고  ,"96,000원"
22,BEANIE BEAR LOGO 스웨트 하프 팬츠 - 블랙,TRIPSHION,TRIP22HSPBLK003,2022S/S, 남 ,,,4,,,  #쇼츠 #반바지 #남자반바지 #하프팬츠 #밴딩팬츠 #여름바지 #숏팬츠  ,"31,567 ~ 34,500원"
23,DAISY PEACEFUL LOGO 스웨트 하프 팬츠 - 블랙,TRIPSHION,TRIP22HSPBLK001,2022S/S, 남 ,,,4,,,  #쇼츠 #반바지 #남자반바지 #하프팬츠 #밴딩팬츠 #여름바지 #숏팬츠  ,"31,567 ~ 34,500원"
24,BEANIE BEAR LOGO 스웨트 하프 팬츠 - 피그먼트 블랙,TRIPSHION,TRIP22HSPPGB003,2022S/S, 남 ,,,2,,,  #쇼츠 #반바지 #남자반바지 #하프팬츠 #밴딩팬츠 #여름바지 #숏팬츠  ,"31,567 ~ 34,500원"
25,SMALL DAISY PEACEFUL LOGO 스웨트 하프 팬츠 - 그레이,TRIPSHION,TRIP22HSPGRY002,2022S/S, 남 ,,,2,,,  #쇼츠 #반바지 #남자반바지 #하프팬츠 #밴딩팬츠 #여름바지 #숏팬츠  ,"31,567 ~ 34,500원"
26,컬러킨즈 보드숏 겸용 반바지 RED,KODAK,K2223LHP54RED,2022S/S, 남 ,,,15,,,  #하프팬츠 #쇼츠 #숏바지 #숏팬츠 #반바지 #쇼츠팬츠 #밴딩팬츠  ,"86,056 ~ 94,050원"
27,WA Denim Carpenter Shorts (Grey),QT8,Q2MMST003GRY,2022S/S, 남 ,,,9,5,후기 1개 보기,  #바지 #반바지 #카펜터팬츠 #와이드데님 #팬츠 #데님팬츠 #청바지  ,"85,440 ~ 89,000원"
28,우먼 코튼 복서밴딩 하프팬츠_멜란지그레이,BORNHIKER,BC2H13512MGR,2022S/S, 여 ,,,0,,,  #하프팬츠 #밴딩팬츠 #반바지추천 #여름바지 #쇼츠 #쇼츠팬츠 #밴딩반바지  ,"27,358 ~ 29,900원"
29,슬림 스판 숏 팬츠_미디움인디고,ELLONARC,EL22SS-JE010,2022S/S, 여 ,,,9,,,,"66,795 ~ 73,000원"
